temprature,humidity,pressure,gas_quality
21.6,40.6,102,78
21.9,40.5,102,114
21.9,40.5,102,142
21.9,40.5,102,160
21.9,40.6,102,170
21.9,40.8,102,172
22,41,102,173
22,41,102,172
22,40.9,102,171
22,40.8,102,169
22,40.9,102,167
22,40.7,102,165
21.9,40.6,102,163
21.9,40.5,102,161
21.9,40.4,102,159
21.9,40.4,102,157
21.9,40.4,102,156
22,40.3,102,155
22,40.3,102,153
22,40.3,102,152
22,40.2,102,151
22,40.2,102,150
22,40.2,102,151
22,40.1,102,148
22,40.1,102,147
22,40.1,102,147
22,40.1,102,148
22,40.1,102,147
22,40.1,102,146
21.9,40.1,102,145
22,40.1,102,145
21.9,40.1,102,144
21.9,40.1,102,142
21.9,40.1,102,246
21.9,40.1,102,510
21.9,40.1,102,590
21.9,40.1,102,635
21.9,40.1,102,662
21.9,40.1,102,675
21.9,40.2,102,683
21.9,40.2,102,698
21.9,40.4,102,705
21.9,40.5,102,710
21.9,40.4,102,713
21.9,40.4,102,713
21.9,40.4,102,697
21.9,40.4,102,677
21.9,40.4,102,646
21.9,40.4,102,618
21.9,40.4,102,591
21.9,40.4,102,565
21.9,40.4,102,542
21.9,40.4,102,521
21.9,40.4,102,501
21.9,40.4,102,481
21.9,40.4,102,464
21.9,40.4,102,447
21.9,40.3,102,432
21.9,40.3,102,417
21.9,40.3,102,405
21.9,40.3,102,392
21.9,40.3,102,381
21.9,40.2,102,370
21.9,40.3,102,360
21.8,40.3,102,351
21.9,40.2,102,343
21.9,40.2,102,334
21.9,40.2,102,327
21.8,40.2,102,319
21.8,40.3,102,313
21.8,40.3,102,307
21.9,40.3,102,301
21.9,40.3,102,295
21.9,40.3,102,290
21.9,40.3,102,284
21.9,40.3,102,279
21.9,40.3,102,275
21.9,40.3,102,270
21.9,40.3,102,267
21.9,40.3,102,264
21.9,40.4,102,259
21.9,40.4,102,255
21.8,40.4,102,252
21.8,40.4,102,248
21.8,40.5,102,245
21.8,40.5,102,242
21.8,40.5,102,239
21.8,40.5,102,235
21.8,40.5,102,232
21.8,40.5,102,230
21.8,40.5,102,229
21.8,40.5,102,225
21.8,40.5,102,222
21.7,40.4,102,221
21.7,40.5,102,219
21.7,40.4,102,216
21.7,40.4,102,215
21.7,40.4,102,213
21.7,40.4,102,210
21.7,40.4,102,209
21.7,40.4,102,207
21.7,40.4,102,205
21.7,40.4,102,205
21.7,40.9,102,201
21.7,41.1,102,200
21.7,41.5,102,198
21.7,41.5,102,197
21.7,41.4,102,198
21.6,41.3,102,197
21.6,41.1,102,195
21.6,41,102,192
21.6,41,102,190
21.6,41,102,189
21.6,40.9,102,187
21.7,40.9,102,185
21.7,40.8,102,185
21.7,40.8,102,184
21.7,40.7,102,184
21.6,40.7,102,182
21.6,40.7,102,181
21.6,40.7,102,179
21.6,40.7,102,178
21.6,40.8,102,181
21.6,41.6,102,183
